date,open,high,low,close,volume,ticker,return,short_term_return_3,sma_10,sma_20,ema_50,volatility_10,open_sector,high_sector,low_sector,sector_close,volume_sector,return_sector,short_term_return_3_sector,sector_sma_10,sector_sma_20,ema_50_sector,sector_volatility_10,sector_return_1d,vix_level,pe_ratio,eps,revenue_growth,debt_to_equity,roe,date_fetched,used_fallback,news_sentiment,pct_pred,direction,confidence,label,price_1d,price_3d,price_5d
2025-05-02,206.09,206.99,202.16,204.8998,53072745,AAPL,-0.0394721545096568,-0.029876426305572745,206.72197999999997,199.64049,213.1697581634237,0.020997426124860885,215.485,217.625,214.91,217.14,2151206,0.01919737150903522,0.038450502152080235,204.967,198.98149999999998,209.50109812740644,0.017892156292712826,0.01919737150903522,,15.0,2.0,0.05,1.0,0.1,2025-04-26,False,0.11209333333333334,-0.3621266482598864,Down,0.1,Avoid,204.15780322196878,202.68186083986643,201.21658866424605
2025-05-02,431.71,439.44,429.985,437.62,17449393,MSFT,0.028725905030559495,0.11059790884174192,392.296,383.422,391.7896547578686,0.0264359704395372,215.485,217.625,214.91,217.14,2151206,0.01919737150903522,0.038450502152080235,204.967,198.98149999999998,209.50109812740644,0.017892156292712826,0.01919737150903522,,15.0,2.0,0.05,1.0,0.1,2025-04-26,False,0.66955,0.22701628539263602,Up,0.75,Buy,438.6134686681352,440.60717713138587,442.60994795528046
2025-05-02,163.405,164.96,161.87,164.29,13170879,GOOGL,0.01853688778673268,0.025786713286713336,158.089,155.32399999999998,163.1187224613149,0.017614031641742158,96.55,97.75,96.4,97.54,1989180,0.016783070989262905,0.022324703909443633,93.776,91.8905,95.27157615762557,0.013464010441316931,0.016783070989262905,,15.0,2.0,0.05,1.0,0.1,2025-04-26,False,0.3122857142857143,0.26254971841796626,Up,0.85,Buy,164.72134293238886,165.58742923947824,166.45806933102554
2025-05-02,191.49,192.8799,186.4,191.28,53490525,AMZN,0.005678233438485947,0.02075884518917781,183.762,181.019,193.06456492608558,0.024604900704623234,200.51,202.59,199.135,202.27,1804476,0.019763045122258793,0.01607474757622951,194.326,190.24949999999998,199.37088744267737,0.01731579283360022,0.019763045122258793,,15.0,2.0,0.05,1.0,0.1,2025-04-26,False,0.32665666666666665,-0.04083265888216461,Down,0.4,Avoid,191.2018952900902,191.04578153393746,190.8897952425508
2025-05-02,583.455,604.01,578.33,600.8854,15661974,META,0.0501134198982891,0.08376993001947897,541.1905399999999,533.78777,574.9420704112215,0.026078824893466912,96.55,97.75,96.4,97.54,1989180,0.016783070989262905,0.022324703909443633,93.776,91.8905,95.27157615762557,0.013464010441316931,0.016783070989262905,,15.0,2.0,0.05,1.0,0.1,2025-04-26,False,0.19851666666666667,-0.17463805124245588,Down,0.25,Avoid,599.8360254472395,597.7427709630965,595.6568213325293
2025-05-02,114.18,115.4,113.37,114.45,110518071,NVDA,0.025445748588836192,0.049807374793615855,106.86800000000001,105.9325,113.07725130201739,0.028374459536469464,215.485,217.625,214.91,217.14,2151206,0.01919737150903522,0.038450502152080235,204.967,198.98149999999998,209.50109812740644,0.017892156292712826,0.01919737150903522,,15.0,2.0,0.05,1.0,0.1,2025-04-26,False,0.4070888888888889,-0.9686565398633954,Down,0.05,Avoid,113.34137259012634,111.15623012409428,109.01321567793474
2025-05-02,285.01,292.505,279.81,292.04,64477642,TSLA,0.041066590617425014,3.424305722021792e-05,269.33000000000004,257.70849999999996,277.87741842787653,0.045228419074400665,200.51,202.59,199.135,202.27,1804476,0.019763045122258793,0.01607474757622951,194.326,190.24949999999998,199.37088744267737,0.01731579283360022,0.019763045122258793,,15.0,2.0,0.05,1.0,0.1,2025-04-26,False,0.46302000000000004,-0.3573742994522062,Down,0.15,Avoid,290.9963240958798,288.92014844654017,286.85878571739914
2025-05-02,251.26,253.6187,249.4629,252.985,3267181,JPM,0.024687107618777793,0.034195895674924426,242.5945,234.73025,241.98076136768725,0.013809465427120457,49.49,49.845,49.33,49.79,17218716,0.021333333333333426,0.023012122457365836,48.094,47.028,48.45230407215949,0.014820207093522145,0.021333333333333426,,15.0,2.0,0.05,1.0,0.1,2025-04-26,,,-0.016899947932711525,Down,0.5,Avoid,252.94224566672244,252.85675867532638,252.7713005760028
2025-05-02,40.91,41.09,40.7001,41.03,15393901,BAC,0.021409011700273872,0.026006501625406298,39.411,37.873000000000005,40.45168216386466,0.014435269388329383,49.49,49.845,49.33,49.79,17218716,0.021333333333333426,0.023012122457365836,48.094,47.028,48.45230407215949,0.014820207093522145,0.021333333333333426,,15.0,2.0,0.05,1.0,0.1,2025-04-26,False,0.7096,-0.02178304825254087,Down,0.45,Avoid,41.021062415301984,41.003193086117015,40.98533154105335
2025-05-02,347.22,350.07,346.73,347.93,2548056,V,0.016002336107461046,0.0187690325603187,337.156,331.3825,336.2819931450096,0.016754728550179423,49.49,49.845,49.33,49.79,17218716,0.021333333333333426,0.023012122457365836,48.094,47.028,48.45230407215949,0.014820207093522145,0.021333333333333426,,15.0,2.0,0.05,1.0,0.1,2025-04-26,False,0.9963,0.24303940183750272,Up,0.8,Buy,348.77560699081323,350.47299144180084,352.17863654495767
