date,model,mae,rmse,sharpe,n_samples
2025-05-15,XGBoost,1.4706,2.0425,0.0204,3304
2025-05-15,LightGBM,1.5778,2.1915,0.0211,3304
2025-05-15,CatBoost,1.1504,1.5225,0.0173,3304
2025-05-15,XGBoost,1.4706,2.0425,0.0204000007361173,3304
2025-05-15,LightGBM,1.5778,2.1915,0.0211,3304
2025-05-15,CatBoost,1.1504,1.5225,0.0173,3304
2025-05-15,XGBoost,1.4706,2.0425,0.0204000007361173,3304
2025-05-15,LightGBM,1.5778,2.1915,0.0211,3304
2025-05-15,CatBoost,1.1504,1.5225,0.0173,3304
2025-05-16,XGBoost,1.4706,2.0425,0.0204000007361173,3304
2025-05-16,LightGBM,1.5778,2.1915,0.0211,3304
2025-05-16,CatBoost,1.1504,1.5225,0.0173,3304
2025-05-16,XGBoost,1.4706,2.0425,0.0204000007361173,3304
2025-05-16,LightGBM,1.5778,2.1915,0.0211,3304
2025-05-16,CatBoost,1.1504,1.5225,0.0173,3304
2025-05-16,Ensemble,1.374,1.87,0.0197,3304
2025-05-16,XGBoost,1.4706,2.0425,0.0204000007361173,3304
2025-05-16,LightGBM,1.5778,2.1915,0.0211,3304
2025-05-16,CatBoost,1.1504,1.5225,0.0173,3304
2025-05-16,Ensemble,1.374,1.87,0.0197,3304
2025-05-16,OptunaEnsemble,1.2495,1.6855,0.0003,3304
2025-05-16,XGBoost,1.4632,2.0214,0.0245999991893768,3360
2025-05-16,LightGBM,1.5947,2.2336,0.0257,3360
2025-05-16,CatBoost,1.1719,1.5387,0.0209,3360
2025-05-16,Ensemble,1.3855,1.8823,0.0239,3360
2025-05-16,OptunaEnsemble,1.4069,1.9295,0.0004,3360
2025-05-16,XGBoost,1.4632,2.0214,0.0245999991893768,3360
2025-05-16,LightGBM,1.5947,2.2336,0.0257,3360
2025-05-16,CatBoost,1.1719,1.5387,0.0209,3360
2025-05-16,Ensemble,1.3855,1.8823,0.0239,3360
2025-05-16,OptunaEnsemble,1.4573,2.0119,0.0004,3360
2025-05-19,XGBoost,1.243,1.7839,0.0230999998748302,6748
2025-05-19,LightGBM,1.2891,1.8639,0.0245,6748
2025-05-19,CatBoost,1.0261,1.4456,0.0184,6748
2025-05-19,Ensemble,1.1672,1.6667,0.0221,6748
2025-05-19,OptunaEnsemble,1.2345,1.7709,0.0001,6748
2025-05-19,XGBoost,1.243,1.7839,0.0230999998748302,6748
2025-05-19,LightGBM,1.2891,1.8639,0.0245,6748
2025-05-19,CatBoost,1.0261,1.4456,0.0184,6748
2025-05-19,Ensemble,1.1672,1.6667,0.0221,6748
2025-05-19,OptunaEnsemble,1.2428,1.7837,0.0001,6748
2025-05-19,XGBoost,1.243,1.7839,0.0230999998748302,6748
2025-05-19,LightGBM,1.2891,1.8639,0.0245,6748
2025-05-19,CatBoost,1.0261,1.4456,0.0184,6748
2025-05-19,Ensemble,1.1672,1.6667,0.0221,6748
2025-05-19,OptunaEnsemble,1.2424,1.783,0.0001,6748
